objectid,filename,source,title,date,date is approximate?,creator,description,subject,location,latitude,longitude,identifier,findingaidtitle,findingaid,type,format,language,rights,rightsstatement,youtubeid,blogtitle,blogposts
lumber001,101-1021.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Ron Purviance,1960,,,Ron Purviance studying science notes from tape recorder,students;science;studying,,,,PG 101-1021,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber002,101-1056.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Sorority rush [1],1961,,,Sorority rush at the U of I.,sororities;students;women;,,,,PG 101-1056,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber003,101-1086.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Alumni functions,1961,,,Alumni functions at the U of I.,women;,,,,PG 101-1086,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber004,101-1427.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Delta Gamma sorority rush,1962,,,Scenes from Delta Gamma sorority rush.,women;sororities;students;performing arts;,,,,PG 101-1427,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber005,101-1429.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Alpha Gamma Delta sorority house,1962,,,Woman performing at Alpha Gamma Delta sorority house for new rushees.,women;sororities;students;performing arts;,,,,PG 101-1429,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber006,101-2341.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Sorority women,1958,,,Sorority women talking to house mother. University of Idaho.,sororities;students;women;,,,,PG 101-2341,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber007,101-2895.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Mothers Day Weekend,1964,,,"Mothers Day Weekend, Phi Delta Theta Turtle Derby.",holidays;families,,46.727516,-117.007774,PG 101-2895,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber008,101-3691.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives","Pine Hall's ""Frustration Party""",1965,,,"Students at Pine Hall's ""Frustration Party.""",women;college students;students,,,,PG 101-3691,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber009,101-957.jpg,"Gem of the Mountains photograph collection, PG 101, University of Idaho Library Special Collections and Archives",Classroom television program experiment. University of Idaho.,1959,,,Classroom television program experiment.,classrooms;college students;students,,,,PG 101-957,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
lumber010,70-48005.jpg,"Unidentified Family Album, PG 70, University of Idaho Library Special Collections and Archives",Unidentified family,1930,yes,,Unidentified family eating around campfire. Wall tent.,group portraits;family portraits;families,,,,PG 70-48,"Idaho Family Photograph Album, 1920-1939",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/b77jei/CP7198973600001451,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,
